,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
199,Thread Pool API,110,100000,16.0,189.695077,6.257846354125469,0.3911153971328418
200,Parallel,110,100000,24.0,189.805956,6.254190706217881,0.26059127942574506
201,Thread Pool API,110,100000,24.0,189.819255,6.253752528951818,0.2605730220396591
202,Parallel,110,100000,36.0,196.129289,6.052551620681193,0.1681264339078109
203,Thread Pool API,110,100000,36.0,196.038523,6.055353957140353,0.16820427658723203
204,Sequential,120,100000,,1294.527541,1.0,1.0
205,Parallel,120,100000,2.0,650.993024,1.9885428772275138,0.9942714386137569
206,Thread Pool API,120,100000,2.0,651.847036,1.985937604232659,0.9929688021163295
207,Parallel,120,100000,4.0,329.036495,3.934297747123765,0.9835744367809413
208,Thread Pool API,120,100000,4.0,329.79271,3.9252763986202117,0.9813190996550529
209,Parallel,120,100000,6.0,223.563366,5.790427851224963,0.9650713085374938
210,Thread Pool API,120,100000,6.0,225.257141,5.746887913311481,0.9578146522185801
211,Parallel,120,100000,8.0,242.827631,5.331055348474737,0.6663819185593421
212,Thread Pool API,120,100000,8.0,218.737623,5.918175041154213,0.7397718801442766
213,Parallel,120,100000,12.0,206.701231,6.2627955079764375,0.5218996256647032
214,Thread Pool API,120,100000,12.0,206.566122,6.2668918236263345,0.5222409853021945
215,Parallel,120,100000,16.0,209.651415,6.174666367026428,0.38591664793915176
216,Thread Pool API,120,100000,16.0,208.496554,6.2088678021987835,0.38805423763742397
217,Parallel,120,100000,24.0,207.034413,6.252716745210855,0.2605298643837856
218,Thread Pool API,120,100000,24.0,206.985775,6.254186023169949,0.2605910842987479
219,Parallel,120,100000,36.0,207.169017,6.248654165308898,0.17357372681413608
220,Thread Pool API,120,100000,36.0,207.084291,6.251210725588065,0.17364474237744623
255,Parallel,1,100000,32.0,10.807741,0.9979448064123668,0.031185775200386463
256,Thread Pool API,1,100000,32.0,10.808366,0.9978870996781568,0.0311839718649424
257,Parallel,1,100000,48.0,10.77971,1.0005398104401697,0.0208445793841702
258,Thread Pool API,1,100000,48.0,10.792851,0.99932158796596,0.020819199749290834
259,Parallel,1,100000,64.0,10.792296,0.9993729786506967,0.015615202791417137
260,Thread Pool API,1,100000,64.0,10.804243,0.9982679027119253,0.015597935979873833
261,Parallel,10,100000,32.0,18.147788,5.950401227962328,0.18595003837382276
262,Thread Pool API,10,100000,32.0,18.377501,5.876023078437052,0.1836257212011579
263,Parallel,10,100000,48.0,18.399855,5.868884292838178,0.12226842276746204
264,Thread Pool API,10,100000,48.0,18.372946,5.877479855435269,0.12244749698823477
265,Parallel,10,100000,64.0,18.408287,5.866196023562648,0.09165931286816638
266,Thread Pool API,10,100000,64.0,18.558903,5.818588523254849,0.09091544567585702
267,Parallel,20,100000,32.0,34.922896,6.1756835687395455,0.1929901115231108
268,Thread Pool API,20,100000,32.0,34.845611,6.189380780265268,0.19341814938328963
269,Parallel,20,100000,48.0,34.624414,6.228921448316785,0.12976919683993302
270,Thread Pool API,20,100000,48.0,34.880143,6.183253176456301,0.12881777450950627
271,Parallel,20,100000,64.0,34.951316,6.170661928723943,0.09641659263631161
272,Thread Pool API,20,100000,64.0,34.919898,6.176213773591205,0.09650334021236258
273,Parallel,30,100000,32.0,52.07818,6.214774940291693,0.1942117168841154
274,Thread Pool API,30,100000,32.0,52.281635,6.1905900226723976,0.19345593820851242
275,Parallel,30,100000,48.0,52.099257,6.212260723794968,0.12942209841239516
276,Thread Pool API,30,100000,48.0,52.05965,6.216987013934977,0.12952056279031202
277,Parallel,30,100000,64.0,52.173268,6.203448248631847,0.09692887888487262
278,Thread Pool API,30,100000,64.0,52.036784,6.219718881935518,0.09718310753024247
279,Parallel,40,100000,32.0,71.700958,6.0186761242436955,0.18808362888261548
280,Thread Pool API,40,100000,32.0,71.358528,6.04755809985318,0.1889861906204119
281,Parallel,40,100000,48.0,69.169721,6.238927058849927,0.12997764705937348
